method,method_label,train_times,metric,mean,std,count
baseline,Baseline,216,lpips,0.132094,0.036092,12
baseline,Baseline,220,psnr,24.548386,1.529088,7
baseline,Baseline,220,ssim,0.816175,0.050272,7
baseline,Baseline,220,lpips,0.129587,0.021023,7
baseline,Baseline,224,psnr,24.641260,1.374056,5
baseline,Baseline,224,ssim,0.826465,0.047213,5
baseline,Baseline,224,lpips,0.135745,0.024363,5
baseline,Baseline,228,psnr,24.367300,0.000000,1
baseline,Baseline,228,ssim,0.843415,0.000000,1
baseline,Baseline,228,lpips,0.136190,0.000000,1
baseline,Baseline,232,psnr,24.711400,0.000000,1
baseline,Baseline,232,ssim,0.832807,0.000000,1
baseline,Baseline,232,lpips,0.156172,0.000000,1
ours,Ours,0,psnr,18.917429,3.197882,391
ours,Ours,0,ssim,0.661252,0.121863,391
ours,Ours,0,lpips,0.366425,0.089575,391
ours,Ours,4,psnr,22.833227,2.617491,387
ours,Ours,4,ssim,0.771995,0.076430,387
ours,Ours,4,lpips,0.276069,0.063907,387
ours,Ours,8,psnr,23.833938,2.578398,383
ours,Ours,8,ssim,0.797341,0.068839,383
ours,Ours,8,lpips,0.233285,0.053640,383
ours,Ours,12,psnr,24.203972,2.605122,379
ours,Ours,12,ssim,0.810051,0.063942,379
ours,Ours,12,lpips,0.210807,0.049141,379
ours,Ours,16,psnr,24.337290,2.740971,370
ours,Ours,16,ssim,0.813302,0.062785,370
ours,Ours,16,lpips,0.195235,0.047848,370
ours,Ours,20,psnr,24.936955,2.610369,351
ours,Ours,20,ssim,0.826747,0.057447,351
ours,Ours,20,lpips,0.181114,0.046181,351
ours,Ours,24,psnr,25.260903,2.615924,334
ours,Ours,24,ssim,0.831179,0.056657,334
ours,Ours,24,lpips,0.173968,0.042808,334
ours,Ours,28,psnr,25.596015,2.572042,318
ours,Ours,28,ssim,0.835201,0.055628,318
ours,Ours,28,lpips,0.168111,0.040996,318
ours,Ours,32,psnr,25.896633,2.569185,308
ours,Ours,32,ssim,0.839110,0.054766,308
ours,Ours,32,lpips,0.162646,0.040134,308
ours,Ours,36,psnr,26.141818,2.613519,294
ours,Ours,36,ssim,0.842502,0.055382,294
ours,Ours,36,lpips,0.156900,0.038726,294
ours,Ours,40,psnr,26.348807,2.678955,280
ours,Ours,40,ssim,0.846243,0.055750,280
ours,Ours,40,lpips,0.153640,0.036630,280
ours,Ours,44,psnr,26.558477,2.813424,265
ours,Ours,44,ssim,0.850186,0.056519,265
ours,Ours,44,lpips,0.150778,0.036036,265
ours,Ours,48,psnr,26.714714,2.808429,255
ours,Ours,48,ssim,0.852562,0.056503,255
ours,Ours,48,lpips,0.148995,0.034995,255
ours,Ours,52,psnr,26.932136,2.812612,244
ours,Ours,52,ssim,0.856211,0.056091,244
ours,Ours,52,lpips,0.146151,0.033247,244
ours,Ours,56,psnr,27.126927,2.814245,233
ours,Ours,56,ssim,0.859177,0.055802,233
ours,Ours,56,lpips,0.142760,0.031794,233
ours,Ours,60,psnr,27.430001,2.815249,223
ours,Ours,60,ssim,0.862858,0.056961,223
ours,Ours,60,lpips,0.139249,0.031080,223
ours,Ours,64,psnr,27.638189,2.780477,206
ours,Ours,64,ssim,0.864423,0.057896,206
ours,Ours,64,lpips,0.134506,0.028222,206
ours,Ours,68,psnr,27.685926,2.792948,196
ours,Ours,68,ssim,0.865471,0.058420,196
ours,Ours,68,lpips,0.131784,0.027096,196
ours,Ours,72,psnr,27.684053,2.847063,191
ours,Ours,72,ssim,0.865449,0.060043,191
ours,Ours,72,lpips,0.130132,0.027588,191
